m#node	C#degree	C#pagerank	C#clustering	C#closeness	C#betweenness	D#leiden	D#infomap	cD#class
Peter Peer	0.005891	0.001205	0.666667	0.175168	0.000114	3	0	7
Matej Trampuš	0.007364	0.001495	0.900000	0.154840	0.000050	3	2	1
Samo Vehovc	0.000000	0.000267	0.000000	0.000000	0.000000	115	106	0
Janez Žibert	0.016200	0.002455	0.654545	0.177613	0.000516	8	0	7
Roni Leben	0.002946	0.000938	1.000000	0.148984	0.000000	4	0	1
Herman J. P. van Midden	0.000000	0.000267	0.000000	0.000000	0.000000	116	107	5
Matjaž Pančur	0.011782	0.002271	0.500000	0.161490	0.001065	3	2	1
Stanislav Petrinić	0.001473	0.001777	0.000000	0.001473	0.000000	30	21	5
Andrej Korošec	0.001473	0.001777	0.000000	0.001473	0.000000	23	14	5
Robert Vehovec	0.000000	0.000267	0.000000	0.000000	0.000000	117	108	5
Simon Beloglavec	0.013255	0.001838	0.722222	0.181311	0.000266	2	1	5
Patricio Bulić	0.005891	0.001400	0.333333	0.158019	0.001218	4	2	1
Anamarija Leben	0.007364	0.001469	0.700000	0.179248	0.000687	0	0	5
Vasja Kavčič	0.001473	0.001247	0.000000	0.002209	0.000000	17	8	5
Tamara Bertok Velkavrh	0.002946	0.002564	0.000000	0.002946	0.000004	20	11	5
Slavko Krapež	0.002946	0.000784	1.000000	0.160705	0.000000	3	0	1
Andrej Bregar	0.005891	0.000951	1.000000	0.174706	0.000000	2	1	5
Vilko Leben	0.001473	0.000798	0.000000	0.125338	0.000000	0	0	5
Matej Šprogar	0.011782	0.001709	0.535714	0.164296	0.000260	1	1	7
Andraž Bežek	0.002946	0.000670	1.000000	0.191046	0.000000	0	0	7
Simon Vrečar	0.001473	0.001384	0.000000	0.001964	0.000000	20	11	0
Alenka Baggia	0.005891	0.001561	0.500000	0.147194	0.000006	9	0	5
Andrej Jeromen	0.001473	0.000984	0.000000	0.006284	0.000000	12	4	7
Jure Knez	0.004418	0.000909	1.000000	0.173061	0.000000	1	1	3
Boris Petelin	0.002946	0.000774	1.000000	0.152415	0.000000	3	2	3
Matej Gomboši	0.005891	0.001216	1.000000	0.155276	0.000000	5	1	1
Matjaž Jogan	0.007364	0.001496	0.800000	0.172610	0.000301	3	0	0
Aljaž Zrnec	0.019146	0.002737	0.538462	0.206164	0.004279	7	1	5
Franc Rotar	0.000000	0.000267	0.000000	0.000000	0.000000	118	109	1
Aleksander Sadikov	0.019146	0.003061	0.320513	0.198854	0.001494	3	0	7
Enis Avdičaušević	0.011782	0.001791	0.607143	0.188866	0.002098	1	1	1
Damijan Rebernak	0.016200	0.002311	0.581818	0.182009	0.000473	1	1	1
Cveto Gregorc	0.002946	0.000675	1.000000	0.158930	0.000000	2	1	5
Aleš Zalokar	0.000000	0.000267	0.000000	0.000000	0.000000	119	110	0
Matjaž Kovač	0.000000	0.000267	0.000000	0.000000	0.000000	120	111	3
Borut Gorenjak	0.007364	0.001362	0.800000	0.158549	0.000009	1	1	3
Aleksander Pivk	0.005891	0.001113	0.666667	0.208633	0.000246	0	0	7
Izidor Golob	0.010309	0.001473	0.761905	0.176948	0.000066	2	1	5
Mitja Dečman	0.004418	0.001015	1.000000	0.142811	0.000000	0	0	0
Matej Grom	0.002946	0.000651	1.000000	0.156081	0.000000	7	1	5
Daniel Čeh-Ambruš	0.000000	0.000267	0.000000	0.000000	0.000000	121	112	5
Branko Kaučič	0.008837	0.001808	0.266667	0.196026	0.005235	13	1	3
Samo Zorko	0.000000	0.000267	0.000000	0.000000	0.000000	122	113	3
Marjan Seljak	0.001473	0.001777	0.000000	0.001473	0.000000	25	16	5
Boris Banjanin	0.000000	0.000267	0.000000	0.000000	0.000000	123	114	1
Matej Kupljen	0.001473	0.001777	0.000000	0.001473	0.000000	26	18	1
Davor Bračko	0.000000	0.000267	0.000000	0.000000	0.000000	124	115	5
Jure Klemenčič	0.002946	0.001707	1.000000	0.006733	0.000000	12	4	7
Branko Horvat	0.005891	0.001150	1.000000	0.157718	0.000000	1	1	3
Matjaž Bevk	0.010309	0.001798	0.428571	0.183727	0.000333	3	0	0
Boštjan Vesnicer	0.007364	0.001245	0.900000	0.164296	0.000052	8	0	7
Samo Ceferin	0.000000	0.000267	0.000000	0.000000	0.000000	125	116	0
Sebastian Krivograd	0.007364	0.001447	0.800000	0.174890	0.000397	5	1	1
Bogdan Lipuš	0.002946	0.000757	1.000000	0.160862	0.000000	5	1	1
Marko Knez	0.010309	0.001719	0.619048	0.175820	0.001227	8	0	0
Aleš Mihelič	0.020619	0.003037	0.461538	0.194872	0.004223	8	0	7
Aleš Merčun	0.008837	0.001447	0.866667	0.169688	0.000045	8	0	7
Maja Škrjanc	0.008837	0.001725	0.133333	0.204507	0.007452	0	0	7
Peter Juvan	0.005891	0.001089	1.000000	0.187581	0.000000	0	0	7
Andrej Nussdorfer	0.000000	0.000267	0.000000	0.000000	0.000000	126	117	4
Karmen Voda	0.004418	0.001533	0.666667	0.124442	0.000002	6	0	0
Damjan Vavpotič	0.011782	0.001813	0.642857	0.192828	0.000880	7	1	5
Iztok Lebar Bajec	0.013255	0.002336	0.638889	0.126779	0.001022	11	2	1
Damjan Oseli	0.007364	0.001398	0.900000	0.115899	0.000033	11	2	1
Alenka Rožanec	0.004418	0.000823	1.000000	0.189298	0.000000	7	1	5
Branko Ikica	0.001473	0.001777	0.000000	0.001473	0.000000	32	22	1
Ervin Schaff	0.007364	0.001362	0.800000	0.158549	0.000009	1	1	3
Jure Meglič	0.004418	0.001262	0.333333	0.146998	0.000015	9	0	5
Janez Pustatičnik	0.000000	0.000267	0.000000	0.000000	0.000000	127	118	5
Tadej Glavič	0.000000	0.000267	0.000000	0.000000	0.000000	128	119	1
Peter Černe	0.000000	0.000267	0.000000	0.000000	0.000000	129	120	0
Damjan Hodžar	0.002946	0.001063	1.000000	0.124396	0.000000	6	0	7
Darko Škerl	0.007364	0.001240	1.000000	0.161727	0.000000	8	0	7
Janez Brank	0.005891	0.001198	0.833333	0.169428	0.000052	0	0	7
Bernard Ženko	0.007364	0.001437	0.600000	0.168136	0.000019	0	0	7
Urban Primožič	0.001473	0.001384	0.000000	0.001964	0.000000	19	10	7
Peter Korošec	0.016200	0.002644	0.381818	0.198854	0.002309	4	0	1
Gregor Klajnšek	0.014728	0.002642	0.466667	0.182511	0.002708	5	1	1
Mirko Zadravec	0.007364	0.001447	0.900000	0.155349	0.000001	5	1	1
Tomislav Rozman	0.011782	0.001679	0.678571	0.179833	0.000171	2	1	3
Tadej Kokalj	0.002946	0.001707	1.000000	0.006733	0.000000	12	4	7
Borut Batagelj	0.008837	0.001859	0.266667	0.177708	0.001077	3	0	0
Katarina Mele	0.004418	0.001087	0.666667	0.160006	0.000062	3	0	7
Jaka Krivic	0.004418	0.001060	1.000000	0.168136	0.000000	3	0	7
Jurij Mihelič	0.004418	0.001026	1.000000	0.153262	0.000000	4	0	3
Polonca Ferk	0.001473	0.000530	0.000000	0.166278	0.000000	0	0	5
Janez Šinkovec	0.001473	0.000583	0.000000	0.147129	0.000000	13	1	5
Marko Perko	0.002946	0.001103	0.000000	0.185166	0.002055	0	0	3
Bojan Mahkovec	0.001473	0.000735	0.000000	0.146413	0.000000	0	0	3
Miloš Pegan	0.007364	0.001515	0.800000	0.160006	0.000003	5	1	5
Zvonko Kribel	0.000000	0.000267	0.000000	0.000000	0.000000	130	121	5
Matej Črepinšek	0.010309	0.001844	0.476190	0.177613	0.002097	1	1	3
Igor Dremelj	0.001473	0.000479	0.000000	0.141468	0.000000	8	0	1
Rok Vodišek	0.002946	0.001729	1.000000	0.003927	0.000000	16	7	1
Leo Zornada	0.001473	0.001384	0.000000	0.001964	0.000000	20	11	0
Peter Baloh	0.001473	0.001777	0.000000	0.001473	0.000000	31	23	5
Uroš Rajkovič	0.007364	0.001580	0.700000	0.193504	0.001117	9	0	5
Domen Marinčič	0.013255	0.002131	0.305556	0.201150	0.002717	8	0	7
Peter Ljubič	0.016200	0.002599	0.418182	0.204887	0.001385	0	0	0
Urban Velkavrh	0.000000	0.000267	0.000000	0.000000	0.000000	131	122	7
Boštjan Kežmah	0.016200	0.002367	0.472727	0.175726	0.001599	2	1	5
Dušan Heric	0.002946	0.000786	1.000000	0.152626	0.000000	1	1	1
Andrej Jazbec	0.007364	0.001390	1.000000	0.110297	0.000000	11	2	1
Boštjan Šumak	0.008837	0.001364	0.800000	0.174983	0.000013	2	1	5
Maja Pušnik	0.007364	0.001175	0.900000	0.174798	0.000007	2	1	5
Sašo Greiner	0.010309	0.001566	0.857143	0.176100	0.000057	1	1	1
Gregor Leban	0.008837	0.001534	0.733333	0.191711	0.000110	0	0	0
Tomaž Curk	0.014728	0.002614	0.422222	0.188221	0.000362	0	0	7
Uroš Čibej	0.008837	0.001881	0.666667	0.180618	0.000761	4	0	3
Luka Šajn	0.005891	0.001095	0.666667	0.180717	0.000022	3	0	7
Tomaž Kosar	0.013255	0.002188	0.361111	0.183218	0.004795	1	1	1
Jernej Vičič	0.004418	0.001287	0.333333	0.165281	0.002268	6	0	0
Srečo Plevel	0.004418	0.001340	0.333333	0.178958	0.002055	4	0	0
Mitja Luštrek	0.014728	0.002533	0.333333	0.199093	0.000516	0	0	7
Martin Žnidaršič	0.011782	0.001897	0.821429	0.209426	0.000295	0	0	7
Gregor Polančič	0.014728	0.002281	0.466667	0.176288	0.002106	2	1	3
Katja Harej	0.008837	0.001424	0.733333	0.174983	0.000199	2	1	5
Uroš Kejžar	0.000000	0.000267	0.000000	0.000000	0.000000	132	123	1
Miha Volovšek	0.000000	0.000267	0.000000	0.000000	0.000000	133	124	7
Matej Fetih	0.000000	0.000267	0.000000	0.000000	0.000000	134	125	5
Gregor Rodič	0.000000	0.000267	0.000000	0.000000	0.000000	135	126	5
Vjekoslav Delimar	0.000000	0.000267	0.000000	0.000000	0.000000	136	127	3
Smiljan Šinjur	0.001473	0.000506	0.000000	0.155057	0.000000	5	1	1
Marko Poženel	0.004418	0.001058	0.666667	0.186104	0.000151	7	1	3
Rok Ostrovršnik	0.001473	0.000486	0.000000	0.141892	0.000000	2	1	1
Borko Bošković	0.010309	0.001566	0.857143	0.176100	0.000057	1	1	1
Davorka Vilus Vičič	0.001473	0.001777	0.000000	0.001473	0.000000	33	24	5
Tomaž Dular	0.000000	0.000267	0.000000	0.000000	0.000000	137	128	5
Srečko Natek	0.000000	0.000267	0.000000	0.000000	0.000000	138	129	0
Jure Pražnikar	0.000000	0.000267	0.000000	0.000000	0.000000	139	130	0
Andrej Bratko	0.007364	0.001299	0.700000	0.207978	0.000307	0	0	0
Igor Perko	0.000000	0.000267	0.000000	0.000000	0.000000	140	131	5
Matej Mertik	0.013255	0.001882	0.750000	0.178187	0.000255	1	1	7
Gregor Štiglic	0.013255	0.001882	0.750000	0.178187	0.000255	1	1	0
Boris Horvat	0.001473	0.000573	0.000000	0.142749	0.000000	4	0	0
Aleš Videnšek	0.001473	0.000583	0.000000	0.147129	0.000000	13	1	5
Vid Domiter	0.010309	0.002020	0.523810	0.155495	0.000020	5	1	1
Jure Ferlež	0.005891	0.001092	0.666667	0.206808	0.000332	0	0	0
Simon Rozman	0.002946	0.000684	1.000000	0.189950	0.000000	0	0	7
Tea Tušar	0.020619	0.003377	0.274725	0.216979	0.005111	0	0	7
Matjaž Kljun	0.002946	0.001023	1.000000	0.135058	0.000000	6	0	0
Aida Kamišalić	0.014728	0.002056	0.622222	0.180914	0.000803	2	1	5
Boštjan Žvanut	0.005891	0.001251	0.166667	0.201887	0.002630	7	1	0
Marko Tekavc	0.002946	0.000625	1.000000	0.165861	0.000000	2	1	5
Miha Peternel	0.001473	0.000542	0.000000	0.148783	0.000000	3	0	7
Timotej Globačnik	0.001473	0.000506	0.000000	0.155057	0.000000	5	1	7
Gregor Polanšek	0.000000	0.000267	0.000000	0.000000	0.000000	141	132	2
Aljaž Noe	0.000000	0.000267	0.000000	0.000000	0.000000	142	133	3
David Batič	0.001473	0.001777	0.000000	0.001473	0.000000	30	21	5
Uroš Jovanovič	0.007364	0.001803	0.600000	0.179346	0.002055	4	0	3
Mateja Verlič	0.019146	0.002688	0.461538	0.182915	0.002914	1	1	0
Marko Hölbl	0.017673	0.002475	0.515152	0.182511	0.001837	2	1	5
Dejan Lavbič	0.020619	0.002917	0.494505	0.208502	0.003898	7	1	5
Luka Fürst	0.004418	0.000962	0.333333	0.197430	0.007181	7	1	7
Alenka Žerovnik	0.005891	0.001439	0.833333	0.176948	0.000092	13	1	3
Marko Mali	0.004418	0.000976	1.000000	0.166278	0.000000	4	0	2
Igor Rozman	0.004418	0.001015	0.666667	0.164459	0.000234	4	0	1
Igor Jelovčan	0.001473	0.000646	0.000000	0.142503	0.000000	4	0	0
Jani Kleindienst	0.000000	0.000267	0.000000	0.000000	0.000000	143	134	0
Matej Cvikl	0.001473	0.000674	0.000000	0.138449	0.000000	6	0	0
Marjana Pikec	0.001473	0.000501	0.000000	0.184239	0.000000	9	0	5
Aleš Štimec	0.008837	0.001815	0.466667	0.177137	0.004618	3	0	3
Denis Špelič	0.010309	0.001907	0.571429	0.180225	0.001470	5	1	1
Boštjan Pivec	0.002946	0.000751	1.000000	0.155130	0.000000	5	1	1
Andrej Nerat	0.002946	0.000793	1.000000	0.140805	0.000000	5	1	3
Ljupčo Krstov	0.001473	0.001777	0.000000	0.001473	0.000000	21	12	5
Rok Šabjan	0.007364	0.002382	0.600000	0.008018	0.000026	14	5	1
Igor Križnar	0.007364	0.002271	0.700000	0.008018	0.000011	14	5	1
Dragan Vitas	0.007364	0.002271	0.700000	0.008018	0.000011	14	5	0
Igor Verstovšek	0.007364	0.002271	0.700000	0.008018	0.000011	14	5	1
Justin Činkelj	0.000000	0.000267	0.000000	0.000000	0.000000	144	135	3
Janez Brezovnik	0.005891	0.001150	1.000000	0.157718	0.000000	1	1	3
Primož Pečar	0.007364	0.001390	1.000000	0.110297	0.000000	11	2	1
Kajetan Dolinar	0.004418	0.001492	0.666667	0.124865	0.000682	10	3	5
Matjaž Depolli	0.005891	0.001273	0.333333	0.186523	0.001020	4	0	0
Joël Plisson	0.007364	0.001271	0.900000	0.185999	0.000016	0	0	7
Mariusz Wegrzyn	0.002946	0.000722	1.000000	0.165778	0.000000	4	0	0
Valentin Gjorgjioski	0.004418	0.000967	0.666667	0.165364	0.000001	0	0	0
Mitja Vardjan	0.004418	0.001523	0.666667	0.106055	0.000001	10	3	1
Gašper Fele-Žorž	0.001473	0.000674	0.000000	0.138449	0.000000	6	0	3
Tadej Zupančič	0.001473	0.000561	0.000000	0.138914	0.000000	3	0	7
Igor Pesek	0.000000	0.000267	0.000000	0.000000	0.000000	145	136	7
Matej Perše	0.001473	0.000560	0.000000	0.135834	0.000000	3	0	1
Luka Pavlič	0.022091	0.003106	0.342857	0.183117	0.003544	2	1	0
Rok Istenič	0.002946	0.000786	1.000000	0.152626	0.000000	1	1	0
Vinko Podobnik	0.005891	0.001233	1.000000	0.159929	0.000000	5	1	5
Mitja Kolbe	0.004418	0.000976	0.333333	0.193504	0.001781	0	0	7
Peter Mrak	0.004418	0.000922	0.666667	0.173697	0.000014	4	0	0
Panče Panov	0.007364	0.001441	0.400000	0.165529	0.000010	0	0	7
Gregor Berginc	0.013255	0.002556	0.388889	0.170212	0.002705	3	0	3
Andrej Krevl	0.004418	0.000989	1.000000	0.150269	0.000000	3	2	0
Enes Pašalić	0.000000	0.000267	0.000000	0.000000	0.000000	146	137	0
Živa Rant	0.000000	0.000267	0.000000	0.000000	0.000000	147	138	0
Kristina Bogataj	0.004418	0.001223	1.000000	0.138391	0.000000	10	3	0
Uroš Goljat	0.007364	0.001257	0.600000	0.166027	0.000325	2	1	5
Andrej Krajnc	0.010309	0.001724	0.571429	0.166027	0.000208	2	1	5
Jan Porekar	0.005891	0.001929	0.666667	0.124912	0.000684	10	3	1
Svetlana Šaljić	0.004418	0.001492	0.666667	0.124865	0.000682	10	3	5
Damir Husejnagić	0.000000	0.000267	0.000000	0.000000	0.000000	148	139	5
Blaž Fortuna	0.008837	0.001715	0.533333	0.183320	0.000465	0	0	7
Bojan Rupnik	0.005891	0.001179	0.833333	0.159929	0.000050	5	1	1
Blaž Repnik	0.007364	0.001487	0.700000	0.160006	0.000062	5	1	1
Peter Holozan	0.011782	0.001807	0.964286	0.177327	0.000001	8	0	7
Matevž Mesojednik	0.000000	0.000267	0.000000	0.000000	0.000000	149	140	1
Damijan Žabjek	0.000000	0.000267	0.000000	0.000000	0.000000	150	141	5
Petra Kralj Novak	0.007364	0.001348	0.600000	0.192156	0.000215	0	0	0
Ana Šaša	0.010309	0.001547	0.523810	0.217406	0.005729	2	1	5
Miha Janež	0.010309	0.001858	0.809524	0.126682	0.000797	11	2	1
Matej Guid	0.007364	0.001292	1.000000	0.178379	0.000000	0	0	7
Štefan Furlan	0.016200	0.002277	0.727273	0.192715	0.000624	7	1	5
Katerina Taškova	0.010309	0.001794	0.476190	0.191711	0.000689	0	0	0
Damjan Kovač	0.001473	0.000639	0.000000	0.150748	0.000000	10	3	5
Lan Umek	0.004418	0.000926	1.000000	0.179443	0.000000	0	0	7
Zoran Bosnić	0.016200	0.002928	0.236364	0.198615	0.002999	3	0	7
Miro Romih	0.010309	0.001593	1.000000	0.177137	0.000000	8	0	7
Aleš Zamuda	0.010309	0.001760	0.476190	0.171714	0.001061	1	1	0
Sergeja Sabo	0.002946	0.000666	1.000000	0.177804	0.000000	0	0	0
Jernej Južna	0.002946	0.001033	1.000000	0.150406	0.000000	6	0	3
Milan Verdev	0.002946	0.000674	1.000000	0.180618	0.000000	0	0	0
Stanka Šalamun	0.001473	0.000452	0.000000	0.152555	0.000000	1	1	0
Blaž Novak	0.004418	0.000979	1.000000	0.161648	0.000000	0	0	7
Jure Žabkar	0.011782	0.001981	0.428571	0.192715	0.001928	0	0	7
Martin Možina	0.014728	0.002400	0.466667	0.193958	0.000513	0	0	7
Andrej Sevčnikar	0.008837	0.001356	1.000000	0.163565	0.000000	2	1	5
Janez Franc Vratanar	0.001473	0.000724	0.000000	0.124023	0.000000	6	0	3
Aleš Kumer	0.011782	0.001702	1.000000	0.173606	0.000000	7	1	5
Gregor Štrubelj	0.000000	0.000267	0.000000	0.000000	0.000000	151	142	3
Miha Moškon	0.007364	0.001377	1.000000	0.126585	0.000000	11	2	1
Domen Mongus	0.022091	0.003820	0.257143	0.177327	0.008517	5	1	0
Aleš Jurca	0.000000	0.000267	0.000000	0.000000	0.000000	152	143	5
Luka Čehovin	0.004418	0.001062	0.333333	0.165612	0.000214	3	0	7
Jana Faganeli	0.001473	0.000674	0.000000	0.138449	0.000000	6	0	3
Erik Štrumbelj	0.004418	0.000931	1.000000	0.168307	0.000000	3	0	7
Uroš Legat	0.002946	0.000722	1.000000	0.165778	0.000000	4	0	1
Vid Podpečan	0.008837	0.001576	0.600000	0.186523	0.000198	0	0	3
Dejan Hrnčič	0.005891	0.001082	0.666667	0.193844	0.000964	1	1	3
Boštjan Grašič	0.005891	0.000965	0.833333	0.172520	0.000020	2	1	0
Miha Štajdohar	0.002946	0.000674	1.000000	0.182310	0.000000	0	0	7
Andrej Ikica	0.001473	0.001777	0.000000	0.001473	0.000000	32	22	1
Kristjan Košič	0.005891	0.001111	0.500000	0.165944	0.000009	2	1	3
Matej Ožek	0.004418	0.000892	1.000000	0.190277	0.000000	0	0	7
Jernej Novak	0.007364	0.001268	0.800000	0.165861	0.000194	2	1	5
Rok Piltaver	0.004418	0.000904	1.000000	0.189406	0.000000	0	0	7
Darko Čerepnalkoski	0.004418	0.000895	1.000000	0.167966	0.000000	0	0	0
Ciril Bohak	0.001473	0.000724	0.000000	0.124023	0.000000	6	0	3
Aleš Frece	0.004418	0.001037	1.000000	0.162441	0.000000	2	1	0
Marko Toplak	0.007364	0.001376	0.800000	0.182612	0.000024	0	0	7
Roland Perko	0.001473	0.000542	0.000000	0.148783	0.000000	3	0	7
Matej Kristan	0.008837	0.002069	0.266667	0.168565	0.002358	3	0	7
Iztok Starc	0.002946	0.001112	1.000000	0.150817	0.000000	10	3	5
Marjana Heričko	0.001473	0.000442	0.000000	0.165446	0.000000	2	1	5
Michael J. Galsworthy	0.000000	0.000267	0.000000	0.000000	0.000000	153	144	5
Mitja Cerovšek	0.000000	0.000267	0.000000	0.000000	0.000000	154	145	5
Bogdan Pogorelc	0.007364	0.001361	0.700000	0.191933	0.000075	0	0	7
David Paš	0.000000	0.000267	0.000000	0.000000	0.000000	155	146	0
Gianni Franceschini	0.000000	0.000267	0.000000	0.000000	0.000000	156	147	0
Boštjan Kaluža	0.010309	0.001898	0.523810	0.191933	0.001053	0	0	7
Vida Vukašinović	0.004418	0.000879	1.000000	0.171269	0.000000	4	0	1
Tadej Janež	0.005891	0.001078	1.000000	0.182612	0.000000	0	0	7
Lovro Šubelj	0.011782	0.001702	1.000000	0.173606	0.000000	7	1	5
Marina Trkman	0.001473	0.000509	0.000000	0.173697	0.000000	7	1	5
Lan Žagar	0.004418	0.000954	1.000000	0.179443	0.000000	0	0	7
Marcel Križevnik	0.001473	0.000449	0.000000	0.162282	0.000000	2	1	5
Črt Gerlec	0.008837	0.001435	0.733333	0.166111	0.000006	2	1	5
Sandi Pohorec	0.017673	0.002413	0.500000	0.186208	0.002769	1	1	7
Miha Pavlinek	0.002946	0.000678	1.000000	0.165529	0.000000	2	1	3
Katja Kous	0.002946	0.000642	1.000000	0.161885	0.000000	2	1	5
Erik Dovgan	0.016200	0.002732	0.363636	0.209161	0.003666	0	0	1
Dragi Kocev	0.004418	0.000921	1.000000	0.167966	0.000000	0	0	7
Mitja Trampuš	0.001473	0.000481	0.000000	0.161490	0.000000	0	0	7
Iztok Fister	0.005891	0.001041	0.500000	0.195447	0.001955	1	1	1
Gregor Rot	0.005891	0.001233	0.833333	0.179540	0.000001	0	0	7
Matevž Leskovšek	0.000000	0.000267	0.000000	0.000000	0.000000	157	148	7
Narvika Bovcon	0.002946	0.000753	1.000000	0.161097	0.000000	3	0	7
Nejc Ilc	0.000000	0.000267	0.000000	0.000000	0.000000	158	149	7
Denis Žganec	0.004418	0.000980	1.000000	0.159851	0.000000	5	1	1
Petar Vračar	0.002946	0.000697	1.000000	0.168222	0.000000	3	0	7
Patrik Pucer	0.001473	0.000532	0.000000	0.156673	0.000000	7	1	0
Bojan Bedrač	0.000000	0.000267	0.000000	0.000000	0.000000	159	150	5
Simon Vouk	0.001473	0.001777	0.000000	0.001473	0.000000	33	24	1
Mateja Strnad	0.004418	0.001160	1.000000	0.169081	0.000000	13	1	7
Rolando Radej	0.001473	0.000519	0.000000	0.133102	0.000000	1	1	5
Ambrož Stropnik	0.001473	0.001777	0.000000	0.001473	0.000000	31	23	3
Tadej Štajner	0.002946	0.000724	1.000000	0.161569	0.000000	0	0	7
Tadej Justin	0.005891	0.001050	1.000000	0.156970	0.000000	8	0	7
Rok Žontar	0.005891	0.001088	0.666667	0.140745	0.000002	2	1	5
David Jelenc	0.001473	0.000639	0.000000	0.150748	0.000000	10	3	5
Darko Pevec	0.002946	0.000697	1.000000	0.168222	0.000000	3	0	7
Robert Ravnik	0.002946	0.000753	1.000000	0.161097	0.000000	3	0	7
Gregor Srdić	0.004418	0.001037	1.000000	0.162441	0.000000	2	1	5
Ines Čeh	0.010309	0.001554	0.619048	0.181112	0.000434	1	1	3
Mirjam Bonačić	0.002946	0.000604	1.000000	0.153191	0.000000	2	1	0
Matjaž Juršič	0.008837	0.001564	0.533333	0.182915	0.000131	0	0	7
Eva Zupančič	0.002946	0.001112	1.000000	0.150817	0.000000	10	3	5
Borut Sluban	0.002946	0.000686	1.000000	0.177804	0.000000	0	0	7
Aneta Trajanov	0.005891	0.001117	0.500000	0.176100	0.000162	0	0	7
Elena Ikonomovska	0.001473	0.000468	0.000000	0.165198	0.000000	0	0	7
Jana Krivec	0.011782	0.001972	0.500000	0.198377	0.000545	0	0	7
Aleš Tavčar	0.001473	0.000478	0.000000	0.184959	0.000000	0	0	0
Aleksandra Rashkovska	0.002946	0.000794	1.000000	0.163971	0.000000	4	0	0
Jernej Huber	0.000000	0.000267	0.000000	0.000000	0.000000	160	151	5
Jaka Bobnar	0.002946	0.001039	1.000000	0.005155	0.000000	14	5	0
Anže Žagar	0.001473	0.000672	0.000000	0.004811	0.000000	14	5	0
Minja Zorc	0.001473	0.000530	0.000000	0.166278	0.000000	0	0	5
Andrej Panjan	0.000000	0.000267	0.000000	0.000000	0.000000	161	152	0
Sašo Pečnik	0.002946	0.000722	1.000000	0.159774	0.000000	5	1	0
Matej Babič	0.000000	0.000267	0.000000	0.000000	0.000000	162	153	8
Damjan Kužnar	0.004418	0.000864	0.333333	0.179638	0.000106	0	0	7
Bojan Klemenc	0.013255	0.001924	0.805556	0.185790	0.001139	7	1	5
Ivica Slavkov	0.005891	0.001195	0.666667	0.168051	0.000026	0	0	7
Miha Mlakar	0.001473	0.000473	0.000000	0.177613	0.000000	0	0	7
Matej Hertiš	0.004418	0.001037	1.000000	0.162441	0.000000	2	1	5
Vida Groznik	0.007364	0.001292	1.000000	0.178379	0.000000	0	0	7
Neli Blagus	0.011782	0.001702	1.000000	0.173606	0.000000	7	1	5
Jan Božnik	0.000000	0.000267	0.000000	0.000000	0.000000	163	154	5
Simon Gangl	0.001473	0.000483	0.000000	0.141468	0.000000	5	1	3
Davor Sluga	0.001473	0.000590	0.000000	0.125386	0.000000	3	2	7
Božidara Cvetković	0.005891	0.001135	1.000000	0.189841	0.000000	0	0	7
Aleš Zemljak	0.001473	0.000490	0.000000	0.141649	0.000000	1	1	1
Rok Tavčar	0.000000	0.000267	0.000000	0.000000	0.000000	164	155	1
Nika Oman	0.000000	0.000267	0.000000	0.000000	0.000000	165	156	7
Gregor Jošt	0.001473	0.000460	0.000000	0.140805	0.000000	2	1	3
Tomaž Kos	0.004418	0.000909	1.000000	0.173061	0.000000	1	1	3
Slavko Žitnik	0.011782	0.001702	1.000000	0.173606	0.000000	7	1	5
Anže Vavpetič	0.004418	0.000917	1.000000	0.177899	0.000000	0	0	7
Nejc Trdin	0.001473	0.000465	0.000000	0.177708	0.000000	0	0	0
Andrej Dobrovoljc	0.000000	0.000267	0.000000	0.000000	0.000000	166	157	0
Inna Novalija	0.001473	0.000481	0.000000	0.161490	0.000000	0	0	7
Vedrana Vidulin	0.004418	0.000900	0.666667	0.198734	0.000037	0	0	7
Jernej Ule	0.004418	0.000954	1.000000	0.179443	0.000000	0	0	7
Nataša Pržulj	0.000000	0.000267	0.000000	0.000000	0.000000	167	158	0
Grega Milčinski	0.007364	0.002271	0.700000	0.008018	0.000011	14	5	0
Sašo Moškon	0.000000	0.000267	0.000000	0.000000	0.000000	168	159	7
Metka Bakan Toplak	0.000000	0.000267	0.000000	0.000000	0.000000	169	160	5
Alenka Ribič	0.000000	0.000267	0.000000	0.000000	0.000000	170	161	5
Franc Brcar	0.000000	0.000267	0.000000	0.000000	0.000000	171	162	5
