m#node	C#degree	C#pagerank	C#clustering	C#closeness	C#betweenness	D#leiden	D#infomap	cD#class
Kjell Inge Røkke	0.013380	0.001727	0.245614	0.121826	0.023953	5	4	1
Lone Fønss Gjørup Schrøder	0.009155	0.001122	0.474359	0.116006	0.002133	5	4	2
Øyvind Eriksen	0.004225	0.000589	1.000000	0.102747	0.000000	5	4	1
Percy Henrik Mikael Lilius	0.004225	0.000589	1.000000	0.102747	0.000000	5	4	1
Sarah Elizabeth Ryan	0.004225	0.000589	1.000000	0.102747	0.000000	5	4	2
Anne Fredriksen	0.002817	0.000518	1.000000	0.099844	0.000000	7	2	2
Karen Sund	0.008451	0.001443	0.272727	0.108261	0.007250	5	2	2
Morten Henriksen	0.002817	0.000518	1.000000	0.099844	0.000000	7	2	1
Rune Valle	0.002817	0.000518	1.000000	0.099844	0.000000	7	2	1
Sverre Valvik	0.008451	0.001267	0.272727	0.115875	0.013246	7	2	1
Anne Gine Hestetun	0.005634	0.000730	1.000000	0.071735	0.000000	1	3	2
Brian Chang	0.005634	0.000730	1.000000	0.071735	0.000000	1	3	1
Eli Sætersmoen	0.007042	0.001005	0.644444	0.071755	0.001689	1	3	2
Hans Olav Lindal	0.005634	0.000730	1.000000	0.071735	0.000000	1	3	1
Magnus Stangeland	0.005634	0.000730	1.000000	0.071735	0.000000	1	3	1
Monica Siv Salthella	0.005634	0.000730	1.000000	0.071735	0.000000	1	3	2
Oddvar Skjegstad	0.008451	0.001073	0.545455	0.073462	0.000719	1	3	1
Oddvar Stangeland	0.008451	0.001065	0.545455	0.081256	0.007033	1	3	1
Rune Skarveland	0.005634	0.000730	1.000000	0.071735	0.000000	1	3	1
Anne Grete Ellingsen	0.002817	0.000584	1.000000	0.092076	0.000000	2	6	2
Hege Eikeland	0.002817	0.000584	1.000000	0.092076	0.000000	2	6	2
John Rae Pickard	0.002817	0.000584	1.000000	0.092076	0.000000	2	6	1
Scott Irving Kerr	0.002817	0.000584	1.000000	0.092076	0.000000	2	6	1
Anne Gro Sundby	0.002817	0.000704	1.000000	0.002817	0.000000	55	44	2
Bo Lundqvist	0.002817	0.000704	1.000000	0.002817	0.000000	55	44	1
Jens Eric Jepsen Christensen	0.002817	0.000704	1.000000	0.002817	0.000000	55	44	1
Leif Corinth-Hansen	0.002817	0.000704	1.000000	0.002817	0.000000	55	44	1
Morten Helge	0.002817	0.000704	1.000000	0.002817	0.000000	55	44	1
Anne Hjelle	0.004225	0.000667	1.000000	0.080820	0.000000	11	1	2
Jan-Emil Johannessen	0.004225	0.000667	1.000000	0.080820	0.000000	11	1	1
John Gunnar Strøm	0.004225	0.000667	1.000000	0.080820	0.000000	11	1	1
Johnny Ballestad	0.006338	0.001020	0.500000	0.093181	0.010017	11	1	1
Liv Bente Fagerbakke Storebø	0.004225	0.000667	1.000000	0.080820	0.000000	11	1	2
Rune Ingve Fløgstad	0.008451	0.001236	0.454545	0.080897	0.005044	11	1	1
Siv Gausdal Eriksen	0.004225	0.000667	1.000000	0.080820	0.000000	11	1	2
Anne Johnsrud Hagen	0.004225	0.000678	1.000000	0.077390	0.000000	13	1	2
Audun Bø	0.004225	0.000678	1.000000	0.077390	0.000000	13	1	1
Bente Avnung Landsnes	0.006338	0.001084	0.500000	0.077425	0.002531	13	1	2
Gunn Oland	0.004225	0.000678	1.000000	0.077390	0.000000	13	1	2
Kim Dobrowen	0.004225	0.000678	1.000000	0.077390	0.000000	13	1	1
Knut Erik Robertsen	0.004225	0.000678	1.000000	0.077390	0.000000	13	1	1
Leiv Askvig	0.008451	0.001213	0.454545	0.088697	0.007540	13	1	1
Anne Kristine Baltzersen	0.005634	0.000991	0.571429	0.084485	0.004015	4	7	2
Eva Kristine Schei	0.004225	0.000705	1.000000	0.075609	0.000000	4	7	2
Geir Holmgren	0.004225	0.000705	1.000000	0.075609	0.000000	4	7	1
Gustav Heiberg Simonsen	0.001408	0.000352	1.000000	0.083047	0.000000	4	6	1
Idar Kreutzer	0.004225	0.000705	1.000000	0.075609	0.000000	4	7	1
Lars Even Moe	0.002817	0.000661	0.333333	0.094696	0.005323	4	6	1
Maria Borch Helsengreen	0.007042	0.001120	0.466667	0.078146	0.001330	4	7	2
Nils Robert Hodnesdal	0.004225	0.000705	1.000000	0.075609	0.000000	4	7	1
Stein Wessel-Aas	0.004225	0.000705	1.000000	0.075609	0.000000	4	7	1
Anne Marie Cannon	0.002817	0.000451	1.000000	0.106795	0.000000	3	4	2
Christine Bosse	0.002817	0.000451	1.000000	0.106795	0.000000	3	4	2
Finn Berg Jacobsen	0.009155	0.001323	0.358974	0.107174	0.014176	3	4	1
Kristin Margrethe Krohn Devold	0.006338	0.000911	0.444444	0.114299	0.010204	3	2	2
Anne Øian	0.002817	0.000562	1.000000	0.080528	0.000000	18	3	2
Liang Liu	0.002817	0.000562	1.000000	0.080528	0.000000	18	3	1
Mari Thjømøe	0.008451	0.001369	0.272727	0.092927	0.011412	18	3	2
Stewart Gordon Smith	0.002817	0.000562	1.000000	0.080528	0.000000	18	3	1
Svein Eggen	0.002817	0.000562	1.000000	0.080528	0.000000	18	3	1
Anne Paula Ekeren Bjone	0.002113	0.000483	1.000000	0.068613	0.000000	13	1	2
Geir Heggem	0.002113	0.000483	1.000000	0.068613	0.000000	13	1	1
Øivind Amundsen	0.002113	0.000483	1.000000	0.068613	0.000000	13	1	1
Anne Sofie Myrmel Bruun-Olsen	0.003521	0.000596	1.000000	0.102316	0.000000	1	3	2
Asbjørn Reinkind	0.006338	0.001015	0.444444	0.103704	0.022976	1	3	1
Bård Brath Ingerø	0.003521	0.000596	1.000000	0.102316	0.000000	1	3	1
Gyrid Skalleberg Ingerø	0.006338	0.001087	0.444444	0.102398	0.003371	1	3	2
Harald Niclas Tøsti	0.007042	0.001048	0.444444	0.121739	0.029557	1	3	1
Narve Reiten	0.003521	0.000596	1.000000	0.102316	0.000000	1	3	1
Anne Sofie Nilsen	0.004225	0.000704	1.000000	0.004225	0.000000	32	21	2
Hilde Rolandsen	0.004225	0.000704	1.000000	0.004225	0.000000	32	21	2
Kjerstin Elisabeth Rasmussen Braathen	0.004225	0.000704	1.000000	0.004225	0.000000	32	21	2
Pål Skoe	0.004225	0.000704	1.000000	0.004225	0.000000	32	21	1
Terje Halvorsen	0.004225	0.000704	1.000000	0.004225	0.000000	32	21	1
Terje Werner Straume	0.004225	0.000704	1.000000	0.004225	0.000000	32	21	1
Thor Andersen	0.004225	0.000704	1.000000	0.004225	0.000000	32	21	1
Anne Sofie Utne	0.009859	0.001117	0.560440	0.081372	0.007203	1	3	2
Birthe Cecilie Lepsøe	0.002817	0.000441	1.000000	0.079615	0.000000	1	3	2
Christian Maureira	0.007042	0.000758	1.000000	0.075542	0.000000	1	3	1
Eivind Eidesvik	0.005634	0.000843	0.571429	0.079664	0.001683	1	3	1
Elise Henriette Novik	0.007042	0.000758	1.000000	0.075542	0.000000	1	3	2
Endre Sekse	0.007042	0.000758	1.000000	0.075542	0.000000	1	3	1
Jorunn Petrine Frøyen	0.007042	0.000758	1.000000	0.075542	0.000000	1	3	2
Kristian Eidesvik	0.005634	0.000843	0.571429	0.079664	0.001683	1	3	1
Magnus Johan Ytterstad	0.007042	0.000758	1.000000	0.075542	0.000000	1	3	1
Reno Dimmen	0.007042	0.000758	1.000000	0.075542	0.000000	1	3	1
Sigurd Strand Teige	0.007042	0.000758	1.000000	0.075542	0.000000	1	3	1
Sven Aage Thoen	0.005634	0.000835	0.428571	0.090900	0.012475	1	3	1
Tore Andre Haugen	0.007042	0.000758	1.000000	0.075542	0.000000	1	3	1
Annette Aubert Gilje	0.004225	0.000704	1.000000	0.004225	0.000000	33	22	2
Emil Aubert	0.004225	0.000704	1.000000	0.004225	0.000000	33	22	1
Georg Kervel	0.004225	0.000704	1.000000	0.004225	0.000000	33	22	1
George Emil Aubert	0.004225	0.000704	1.000000	0.004225	0.000000	33	22	1
Marichen Winsnes Lenæs	0.004225	0.000704	1.000000	0.004225	0.000000	33	22	1
Signe Holta Ringertz	0.004225	0.000704	1.000000	0.004225	0.000000	33	22	2
Tom Coward	0.004225	0.000704	1.000000	0.004225	0.000000	33	22	1
Annette Beate Wacknitz Malm Justad	0.005634	0.000948	0.571429	0.092860	0.001689	6	0	2
Carol Bell	0.004225	0.000650	1.000000	0.092826	0.000000	6	0	2
Dag Fasmer Wittusen	0.001408	0.000360	1.000000	0.080452	0.000000	6	0	1
Daniel Joseph Piette	0.004225	0.000650	1.000000	0.092826	0.000000	6	0	1
Francis Robert Gugen	0.004225	0.000650	1.000000	0.092826	0.000000	6	0	1
Harald Johan Norvik	0.009155	0.001202	0.461538	0.108975	0.007354	6	0	1
Holly Ann Van Deursen	0.004225	0.000650	1.000000	0.092826	0.000000	6	0	2
Lars Solbakken	0.001408	0.000360	1.000000	0.080452	0.000000	6	0	1
Odd Ingar Skaug	0.007746	0.001146	0.454545	0.095651	0.002053	6	0	1
Annika Billström	0.003521	0.000585	1.000000	0.077519	0.000000	13	1	2
Gro Bakstad	0.007746	0.001164	0.454545	0.077589	0.005044	13	1	2
Hans-Jürgen Kai Von Uthmann	0.003521	0.000585	1.000000	0.077519	0.000000	13	1	1
Jette Wigand Knudsen	0.003521	0.000585	1.000000	0.077519	0.000000	13	1	2
Martin Mæland	0.007042	0.001075	0.444444	0.088835	0.009193	13	1	1
Peder Christian Løvenskiold	0.003521	0.000585	1.000000	0.077519	0.000000	13	1	1
Ari Antero Kaperi	0.002113	0.000704	1.000000	0.002113	0.000000	79	70	1
Carl Fredrik Stenson Rystedt	0.002113	0.000704	1.000000	0.002113	0.000000	79	70	1
Karin Sigrid Thorburn	0.002113	0.000704	1.000000	0.002113	0.000000	79	70	2
Mary Helene Moe	0.002113	0.000704	1.000000	0.002113	0.000000	79	70	2
Aril Resen	0.002817	0.000591	1.000000	0.073410	0.000000	9	6	1
Cecilie Amdahl	0.007042	0.001266	0.288889	0.083575	0.003387	9	6	2
Erik Osmundsen	0.002817	0.000591	1.000000	0.073410	0.000000	9	6	1
Liv Bergthorsdottir	0.002817	0.000591	1.000000	0.073410	0.000000	9	6	2
Odd Johnny Winge	0.002817	0.000591	1.000000	0.073410	0.000000	9	6	1
Arild Abel Engh	0.003521	0.000634	1.000000	0.090578	0.000000	0	5	1
Arnold Rørholt	0.003521	0.000634	1.000000	0.090578	0.000000	0	5	1
Georg Edvard Gunnerød	0.003521	0.000634	1.000000	0.090578	0.000000	0	5	1
Judith Lee Bollinger	0.003521	0.000634	1.000000	0.090578	0.000000	0	5	2
Per Anders Grudén	0.004225	0.000765	0.733333	0.090594	0.000002	0	5	1
Tone Bjørnov	0.015493	0.002495	0.155844	0.106550	0.022274	0	5	2
Armin Theodor Papperger	0.002113	0.000704	1.000000	0.002113	0.000000	80	71	1
Helmut Paul Merch	0.002113	0.000704	1.000000	0.002113	0.000000	80	71	1
Jon Asbjørn Bø	0.002113	0.000704	1.000000	0.002113	0.000000	80	71	1
Luitjen Rolf Ennenga	0.002113	0.000704	1.000000	0.002113	0.000000	80	71	1
Arne Hansteen	0.004930	0.000706	1.000000	0.091061	0.000000	3	4	1
Bengt Arve Rem	0.004930	0.000706	1.000000	0.091061	0.000000	3	4	1
Beret Luise Sundet	0.004930	0.000706	1.000000	0.091061	0.000000	3	4	2
Birgitte Teigland	0.004930	0.000706	1.000000	0.091061	0.000000	3	4	2
Børre Anton Bonnevie Grønningsæter	0.004930	0.000706	1.000000	0.091061	0.000000	3	4	1
Stein Vidar Håland	0.004930	0.000706	1.000000	0.091061	0.000000	3	4	1
Vibeke Kristin Svendsby	0.004930	0.000706	1.000000	0.091061	0.000000	3	4	2
Arne Haugseth	0.001408	0.000704	1.000000	0.001408	0.000000	95	86	1
Eigel Ingvar Thom	0.001408	0.000704	1.000000	0.001408	0.000000	95	86	1
Eva Andersen Røraas	0.001408	0.000704	1.000000	0.001408	0.000000	95	86	2
Arne Hygen Tørnkvist	0.001408	0.000704	1.000000	0.001408	0.000000	96	87	1
David Anla Llewelyn Bandele	0.001408	0.000704	1.000000	0.001408	0.000000	96	87	1
Kristin Dyb	0.001408	0.000704	1.000000	0.001408	0.000000	96	87	2
Arne Incoronato	0.003521	0.000704	1.000000	0.003521	0.000000	41	32	1
Hans Anfinn Eide Helland	0.003521	0.000704	1.000000	0.003521	0.000000	41	32	1
Helge Orstad	0.003521	0.000704	1.000000	0.003521	0.000000	41	32	1
Leif Arvid Høiland	0.003521	0.000704	1.000000	0.003521	0.000000	41	32	1
Leif Roar Høiland	0.003521	0.000704	1.000000	0.003521	0.000000	41	32	1
Rolf Smedvig Hodne	0.003521	0.000704	1.000000	0.003521	0.000000	41	32	1
Arne Nicander	0.002817	0.000704	1.000000	0.002817	0.000000	56	45	1
Hans Göran Thorshag	0.002817	0.000704	1.000000	0.002817	0.000000	56	45	1
Jennifer Andrea Mcnee	0.002817	0.000704	1.000000	0.002817	0.000000	56	45	2
Kjell Hans Bakke	0.002817	0.000704	1.000000	0.002817	0.000000	56	45	1
Trine Hartmann Klungland	0.002817	0.000704	1.000000	0.002817	0.000000	56	45	2
Arne Smedal	0.002817	0.000500	1.000000	0.085372	0.000000	18	3	1
Jens Dag Ulltveit-Moe	0.007042	0.001054	0.488889	0.092491	0.008681	18	3	1
Siri Beate Hatlen	0.002817	0.000500	1.000000	0.085372	0.000000	18	3	2
Tom Ruud	0.003521	0.000595	0.700000	0.085386	0.000090	18	3	1
Arne Solberg	0.002817	0.000704	1.000000	0.002817	0.000000	57	46	1
Asa Matti Lyytinen	0.002817	0.000704	1.000000	0.002817	0.000000	57	46	1
Gun Lisbeth Gustafsson	0.002817	0.000704	1.000000	0.002817	0.000000	57	46	2
Harri Tapio Takanen	0.002817	0.000704	1.000000	0.002817	0.000000	57	46	1
Olena Anfimova	0.002817	0.000704	1.000000	0.002817	0.000000	57	46	2
Arne Thorolf Wiese Tønjum	0.002817	0.000568	1.000000	0.090610	0.000000	0	5	1
Elisabeth Agnete Weme Bjerkestrand	0.002817	0.000568	1.000000	0.090610	0.000000	0	5	2
Kristian Martin Utkilen	0.002817	0.000568	1.000000	0.090610	0.000000	0	5	1
Arnfinn Torgnes	0.002817	0.000704	1.000000	0.002817	0.000000	58	47	1
Charlotte Fredrikke Hartvigsen Lem	0.002817	0.000704	1.000000	0.002817	0.000000	58	47	2
Inger-Gunn Sande	0.002817	0.000704	1.000000	0.002817	0.000000	58	47	2
Karl Johann Torgnes	0.002817	0.000704	1.000000	0.002817	0.000000	58	47	1
Reidulf Gerhard Juliussen	0.002817	0.000704	1.000000	0.002817	0.000000	58	47	1
Arnstein Olav Wigestrand	0.002817	0.000741	1.000000	0.003756	0.000000	28	19	1
Hilde Drønen	0.004225	0.001131	0.466667	0.004507	0.000012	28	19	2
John Anthony Hogan	0.002817	0.000741	1.000000	0.003756	0.000000	28	19	1
Lars Arne Takla	0.004225	0.001131	0.466667	0.004507	0.000012	28	19	1
Therese Log Bergjord	0.002817	0.000741	1.000000	0.003756	0.000000	28	19	2
Arnt Harald Jerpstad	0.004225	0.000704	1.000000	0.004225	0.000000	34	23	1
Åsmund Paulsen	0.004225	0.000704	1.000000	0.004225	0.000000	34	23	1
Catrine Birkevold Liem	0.004225	0.000704	1.000000	0.004225	0.000000	34	23	2
Eiolf Jarle Stein	0.004225	0.000704	1.000000	0.004225	0.000000	34	23	1
Inger Elisabeth Prebensen	0.004225	0.000704	1.000000	0.004225	0.000000	34	23	2
Knut Grønvik	0.004225	0.000704	1.000000	0.004225	0.000000	34	23	1
Trine Sellæg Aulie	0.004225	0.000704	1.000000	0.004225	0.000000	34	23	2
Arve Andersson	0.001408	0.000373	1.000000	0.092759	0.000000	11	1	1
Lars Hoven	0.001408	0.000373	1.000000	0.092759	0.000000	11	1	1
Synne Syrrist	0.011268	0.002036	0.125000	0.109651	0.034026	11	1	2
Arve Giske	0.003521	0.000589	1.000000	0.097693	0.000000	8	8	1
Berit Kjøll	0.006338	0.001079	0.444444	0.097768	0.003371	8	8	2
Guri Mai Elmar	0.003521	0.000589	1.000000	0.097693	0.000000	8	8	2
Per Heidenreich	0.003521	0.000589	1.000000	0.097693	0.000000	8	8	1
Trygve Hegnar	0.003521	0.000589	1.000000	0.097693	0.000000	8	8	1
Kari Stautland	0.002817	0.000451	1.000000	0.104957	0.000000	15	10	2
Marianne Heien Blystad	0.008451	0.001060	0.515152	0.112739	0.008228	15	10	2
William J Raduchel	0.002817	0.000451	1.000000	0.104957	0.000000	15	10	1
Arvid Axberg	0.003521	0.000704	1.000000	0.003521	0.000000	42	33	1
Catherine Monique Nicole Marchand Støle	0.003521	0.000704	1.000000	0.003521	0.000000	42	33	2
Egil Steinberg	0.003521	0.000704	1.000000	0.003521	0.000000	42	33	1
Eva Nygård	0.003521	0.000704	1.000000	0.003521	0.000000	42	33	2
Eyvind Aven	0.003521	0.000704	1.000000	0.003521	0.000000	42	33	1
Svein Skeie	0.003521	0.000704	1.000000	0.003521	0.000000	42	33	1
Arvid Grundekjøn	0.002817	0.000542	1.000000	0.096862	0.000000	11	1	1
Gry Mølleskog	0.002817	0.000542	1.000000	0.096862	0.000000	11	1	2
Jon Erik Brøndmo	0.002817	0.000542	1.000000	0.096862	0.000000	11	1	1
Åsa Helena Kristina Mossberg	0.002113	0.000505	1.000000	0.081919	0.000000	7	2	2
Astrid Moe Eikrem	0.002113	0.000505	1.000000	0.081919	0.000000	7	2	2
Peter Ditlef Knudsen	0.002113	0.000505	1.000000	0.081919	0.000000	7	2	1
Ingelise Arntsen	0.002817	0.000507	1.000000	0.089502	0.000000	1	3	2
Per Grieg	0.002817	0.000507	1.000000	0.089502	0.000000	1	3	1
Terje Ramm	0.002817	0.000507	1.000000	0.089502	0.000000	1	3	1
Wenche Kjølås	0.005634	0.000843	0.428571	0.091304	0.020320	1	3	2
Bård Martin Mikkelsen	0.005634	0.000832	0.428571	0.111634	0.011778	7	2	1
Bjørg Ven	0.006338	0.000734	1.000000	0.112789	0.000000	11	1	2
Eva Steiness	0.003521	0.000525	1.000000	0.104316	0.000000	16	1	2
Helge Midttun	0.009155	0.001382	0.282051	0.112764	0.020357	3	2	1
Ingrid Beichmann Wiik	0.011268	0.001515	0.308333	0.108675	0.024293	16	1	2
Jan Erik Korssjøen	0.002817	0.000452	1.000000	0.106906	0.000000	7	2	1
Jens Jesper Ovesen	0.006338	0.000734	1.000000	0.112789	0.000000	11	1	1
Jon Hindar	0.003521	0.000525	1.000000	0.104316	0.000000	16	1	1
Kenneth Peter Herry Hertz	0.006338	0.000734	1.000000	0.112789	0.000000	11	1	1
Kristin Skogen Lund	0.006338	0.000734	1.000000	0.112789	0.000000	11	1	2
Mats Gunnar Pettersson	0.003521	0.000525	1.000000	0.104316	0.000000	16	1	1
Peer Sørensen	0.006338	0.000734	1.000000	0.112789	0.000000	11	1	1
Rebekka Glasser Herlofsen	0.002817	0.000452	1.000000	0.106906	0.000000	7	2	2
Stein Erik Hagen	0.006338	0.000734	1.000000	0.112789	0.000000	11	1	1
Svein Sigurd Jacobsen	0.009155	0.001066	0.538462	0.125404	0.042192	11	1	1
Tom Kornelius Jensen	0.006338	0.000734	1.000000	0.112789	0.000000	11	1	1
Xavier Denis Yon	0.003521	0.000525	1.000000	0.104316	0.000000	16	1	1
Åse Karin Tennebekk	0.003521	0.000704	1.000000	0.003521	0.000000	43	34	2
Bjørg Knapstad	0.003521	0.000704	1.000000	0.003521	0.000000	43	34	2
Dagfinn Gjøstein	0.003521	0.000704	1.000000	0.003521	0.000000	43	34	1
Jorunn Lødemel	0.003521	0.000704	1.000000	0.003521	0.000000	43	34	2
Nils Ringheim	0.003521	0.000704	1.000000	0.003521	0.000000	43	34	1
Stig Gunnar Røthe	0.003521	0.000704	1.000000	0.003521	0.000000	43	34	1
Åse Koll Lunde	0.002113	0.000704	1.000000	0.002113	0.000000	81	72	2
Erik Olger Jacobsen	0.002113	0.000704	1.000000	0.002113	0.000000	81	72	1
John Hatleskog	0.002113	0.000704	1.000000	0.002113	0.000000	81	72	1
Wenche Kristine Rettedal	0.002113	0.000704	1.000000	0.002113	0.000000	81	72	2
Aslak Bestul	0.004225	0.000704	1.000000	0.004225	0.000000	35	24	1
Bente Thomassen	0.004225	0.000704	1.000000	0.004225	0.000000	35	24	2
Harald Solberg	0.004225	0.000704	1.000000	0.004225	0.000000	35	24	1
Ingjerd Juel Ingeborgrud	0.004225	0.000704	1.000000	0.004225	0.000000	35	24	2
Kjell Hande	0.004225	0.000704	1.000000	0.004225	0.000000	35	24	1
Lise Graaten	0.004225	0.000704	1.000000	0.004225	0.000000	35	24	2
Steinar Eikeland	0.004225	0.000704	1.000000	0.004225	0.000000	35	24	1
Astrid Koppernæs	0.004225	0.000670	1.000000	0.068769	0.000000	13	1	2
Bjarne Sælensminde	0.004225	0.000670	1.000000	0.068769	0.000000	13	1	1
Bjørn Havnes	0.004225	0.000670	1.000000	0.068769	0.000000	13	1	1
Janne Grethe Strand Aasnæs	0.004225	0.000670	1.000000	0.068769	0.000000	13	1	2
Per Norvald Sperre	0.004225	0.000670	1.000000	0.068769	0.000000	13	1	1
Sverre Andreas Farstad	0.004225	0.000670	1.000000	0.068769	0.000000	13	1	1
Astrid Rebekka Norheim	0.004225	0.000614	1.000000	0.084332	0.000000	8	8	2
Catherine Birgit Hauge	0.004225	0.000614	1.000000	0.084332	0.000000	8	8	2
Dag Elgar Sønsterud	0.004225	0.000614	1.000000	0.084332	0.000000	8	8	1
Kjersti Espeset Lie	0.004225	0.000614	1.000000	0.084332	0.000000	8	8	2
Rolf Fritjov Aarsheim	0.004225	0.000614	1.000000	0.084332	0.000000	8	8	1
Stian Helgøy	0.004225	0.000614	1.000000	0.084332	0.000000	8	8	1
Tor Dahle	0.010563	0.001300	0.485714	0.097992	0.005044	8	8	1
Atle Sveinung Eide	0.002113	0.000405	1.000000	0.094347	0.000000	10	4	1
Frank Ove Reite	0.007746	0.001122	0.381818	0.109091	0.005799	10	4	1
Audhild Bang Rande	0.004930	0.000613	1.000000	0.006573	0.000000	21	12	2
Brynjar Kroknes	0.004930	0.000613	1.000000	0.006573	0.000000	21	12	1
Ingolf Arne Marifjæren	0.004930	0.000613	1.000000	0.006573	0.000000	21	12	1
Kjell Inge Skaldebø	0.009859	0.001114	0.538462	0.009859	0.000021	21	12	1
Lise Andrea Dahl Karlsen	0.009859	0.001114	0.538462	0.009859	0.000021	21	12	2
Robert Arnfinn Tønne	0.004930	0.000613	1.000000	0.006573	0.000000	21	12	1
Torstein Moe	0.004930	0.000613	1.000000	0.006573	0.000000	21	12	1
Wenche Stuvland Knygh	0.004930	0.000613	1.000000	0.006573	0.000000	21	12	2
Axel Dammann	0.002817	0.000704	1.000000	0.002817	0.000000	59	48	1
Elisabeth Magnus	0.002817	0.000704	1.000000	0.002817	0.000000	59	48	2
Harald Hjort	0.002817	0.000704	1.000000	0.002817	0.000000	59	48	1
Harald Sperlin Thorstensen	0.002817	0.000704	1.000000	0.002817	0.000000	59	48	1
Leif Sven Helmich Pedersen	0.002817	0.000704	1.000000	0.002817	0.000000	59	48	1
Axel Ramm	0.003521	0.000606	1.000000	0.086147	0.000000	7	2	1
Hans Peter Lennarth Hansson	0.003521	0.000606	1.000000	0.086147	0.000000	7	2	1
Inge Ketil Hansen	0.007746	0.001134	0.454545	0.100471	0.004208	7	2	1
Jan Håkon Pettersen	0.003521	0.000606	1.000000	0.086147	0.000000	7	2	1
Kjell Martin Grimeland	0.003521	0.000606	1.000000	0.086147	0.000000	7	2	1
Tom Vidar Rygh	0.003521	0.000606	1.000000	0.086147	0.000000	7	2	1
Barbara Rose Milian Thoralfsson	0.004930	0.000644	1.000000	0.108468	0.000000	6	0	2
Burckhard Bergmann	0.004930	0.000644	1.000000	0.108468	0.000000	6	0	1
Kjersti Kleven	0.007746	0.001087	0.490909	0.108559	0.003371	6	0	2
Olav Volldal	0.004930	0.000644	1.000000	0.108468	0.000000	6	0	1
Sanjiv Ahuja	0.004930	0.000644	1.000000	0.108468	0.000000	6	0	1
Barbara Singer Lady Judge	0.007746	0.000752	1.000000	0.105194	0.000000	6	0	2
Bjørn Tore Godal	0.007746	0.000752	1.000000	0.105194	0.000000	6	0	1
Brit Gunn Ersland	0.007746	0.000752	1.000000	0.105194	0.000000	6	0	2
Geir Nilsen	0.007746	0.000752	1.000000	0.105194	0.000000	6	0	1
Grace Montgomery Reksten Skaugen	0.007746	0.000752	1.000000	0.105194	0.000000	6	0	2
Heikki Lehmoinen Oltedal	0.007746	0.000752	1.000000	0.105194	0.000000	6	0	1
Jakob Stausholm	0.007746	0.000752	1.000000	0.105194	0.000000	6	0	1
Jorunn Birkeland	0.007746	0.000752	1.000000	0.105194	0.000000	6	0	2
Lisa Margaret Michelsen	0.007746	0.000752	1.000000	0.105194	0.000000	6	0	2
Roy Alexander Franklin	0.007746	0.000752	1.000000	0.105194	0.000000	6	0	1
Bente Rathe	0.007042	0.000998	0.466667	0.108170	0.006201	7	2	2
Bjørn Anders Fossum	0.002817	0.000468	1.000000	0.101325	0.000000	7	2	1
Sam Carsten Syvertsen	0.002817	0.000468	1.000000	0.101325	0.000000	7	2	1
Benedicte Elisabeth Bakke Agerup	0.007746	0.001074	0.454545	0.116933	0.044818	9	3	2
Erik Gunnar Braathen	0.007042	0.001027	0.466667	0.102830	0.017618	9	3	1
Giuditta Cordero-Moss	0.004225	0.000634	1.000000	0.100648	0.000000	9	3	2
Jan Frederik Dyvi	0.003521	0.000531	1.000000	0.113867	0.000000	9	6	1
Jørgen Gregardsøn Heje	0.003521	0.000531	1.000000	0.113867	0.000000	9	6	1
Jørgen Stang Heffermehl	0.004225	0.000634	1.000000	0.100648	0.000000	9	3	1
Jostein Sørvoll	0.004225	0.000634	1.000000	0.100648	0.000000	9	3	1
Rolf Albert Wilhelm Tolle	0.004225	0.000634	1.000000	0.100648	0.000000	9	3	1
Tove Raanes	0.003521	0.000531	1.000000	0.113867	0.000000	9	6	2
Benedicte Elisabeth Schilbred Fasmer	0.004225	0.000627	1.000000	0.088559	0.000000	13	1	2
Benedikte Bettina Bjørn	0.004225	0.000627	1.000000	0.088559	0.000000	13	1	2
Harald Espedal	0.004225	0.000627	1.000000	0.088559	0.000000	13	1	1
Ottar Ertzeid	0.004225	0.000627	1.000000	0.088559	0.000000	13	1	1
Svein Støle	0.004225	0.000627	1.000000	0.088559	0.000000	13	1	1
Grete Nanna Hogstad	0.003521	0.000550	1.000000	0.092927	0.000000	0	5	2
Halvor Stenstadvold	0.010563	0.001423	0.314286	0.100708	0.005249	0	5	1
Johan Reinsli	0.003521	0.000550	1.000000	0.092927	0.000000	0	5	1
Kristian Nergaard	0.002113	0.000353	1.000000	0.105737	0.000000	0	5	1
Marianne Elisabeth Johnsen	0.013380	0.001671	0.257310	0.122087	0.024465	2	9	2
Masha Paule Nathalie Legris Strømme	0.006338	0.000991	0.472222	0.095991	0.001565	0	5	2
Svein Erik Nicolaysen	0.003521	0.000550	1.000000	0.092927	0.000000	0	5	1
Thomas Falck	0.007746	0.001160	0.290909	0.114708	0.019596	0	5	1
Bengt Henrik Olof Olsen	0.003521	0.000719	1.000000	0.047581	0.000000	4	7	1
Carole Callebaut	0.003521	0.000719	1.000000	0.047581	0.000000	4	7	2
Lindsay Poston	0.003521	0.000719	1.000000	0.047581	0.000000	4	7	2
Mai-Lill Ibsen	0.004930	0.001027	0.523810	0.051648	0.004208	4	7	2
Simon Matthew Dudgeon Oliver	0.003521	0.000719	1.000000	0.047581	0.000000	4	7	1
Thomas Christian Høegh	0.003521	0.000719	1.000000	0.047581	0.000000	4	7	1
Bengt Lie Hansen	0.003521	0.000640	1.000000	0.081140	0.000000	2	9	1
